PRODUK_CODE,NAMA_PRODUK,BOM_CODE,MATERIAL_NAME,PERCENTAGE,QTY,SATUAN,STANDARD_COST,WASTE,TOTAL_BIAYA
4010401020.0,POLYMORPH HD 30X60 10S RED @33,3021402003.0,JR FN 90-14 H 80%R/10%P/10%ES 30 CM HDR,,5.345999999999999,KG,33948.30237171094,0.05,191039.60471491228
4010401021.0,POLYMORPH HD 30X60 10S BLUE @33,3021402001.0,JR FN 90-14 H 80%R/10%P/10%ES 30 CM HDB,,5.345999999999999,KG,33836.96055851727,0.05,190413.04331140348
4010401022.0,POLYMORPH HD 30X60 10S GREEN @33,3021402002.0,JR FN 90-14 H 80%R/10%P/10%ES 30 CM HDG,,5.345999999999999,KG,33939.21458021574,0.05,190988.46436403508
4010401023.0,POLYMORPH HD 30X60 10S YELLOW @33,3021402004.0,JR FN 90-14 H 80%R/10%P/10%ES 30 CM HDY,,5.345999999999999,KG,33737.51196377353,0.05,189853.4094298245
4010401011.0,POLYMORPH HD 37.5X60 60S RED @8,3021402006.0,JR FN 90-14 H 80%R/10%P/10%ES 37.5CM HDR,,9.719999999999999,KG,0,0.05,0.0
4010401012.0,POLYMORPH HD 37.5X60 60S YELLOW @8,3021402007.0,JR FN 90-14 H 80%R/10%P/10%ES 37.5 CM HDY,,9.719999999999999,KG,0,0.05,0.0
4010401013.0,POLYMORPH HD 37.5X60 60S BLUE @8,3021402008.0,JR FN 90-14 H 80%R/10%P/10%ES 37.5CM HDB,,9.719999999999999,KG,0,0.05,0.0
4010401024.0,POLYMORPH HD 37.5X60 60S RED @6,3021402006.0,JR FN 90-14 H 80%R/10%P/10%ES 37.5CM HDR,,7.289999999999999,KG,0,0.05,0.0
4010401025.0,POLYMORPH HD 37.5X60 60S YELLOW @6,3021402007.0,JR FN 90-14 H 80%R/10%P/10%ES 37.5 CM HDY,,7.289999999999999,KG,0,0.05,0.0
4010401026.0,POLYMORPH HD 37.5X60 60S BLUE @6,3021402008.0,JR FN 90-14 H 80%R/10%P/10%ES 37.5CM HDB,,7.289999999999999,KG,0,0.05,0.0
4010401008.0,POLYMORPH HD 30X60 10S WHITE @33,3021402005.0,JR FN 90-14 H 80%R/10%P/10%ES 30 CM,,5.345999999999999,KG,33385.18518518518,0.05,187870.73684210522
4010401009.0,POLYMORPH HD VALUE PACK 1 KG MIX @6,3021402001.0,JR FN 90-14 H 80%R/10%P/10%ES 30 CM HDB,,1.5,KG,33836.96055851727,0.05,53426.77982923779
4010401010.0,POLYMORPH HD VALUE PACK 1 KG WHITE @6,3021402005.0,JR FN 90-14 H 80%R/10%P/10%ES 30 CM,,6.0,KG,33385.18518518518,0.05,210853.80116959065
4010402001.0,POLYMORPH MD 30X32 10S MIX @63,3021301001.0,JR FN 80-25 D 50%R/40%P/10%ES 30 CM MDB,,1.7010000000000003,KG,30699.329810049017,0.05,54967.95790199304
4010402002.0,POLYMORPH MD 30X32 10S WHITE @63,3021301007.0,JR FN 80-25 D 50%R/40%P/10%ES 30 CM,,9.072,KG,29570.37037037037,0.05,282381.4736842105
4010402003.0,POLYMORPH MD VALUE PACK 0.5 KG MIX @12,3021301001.0,JR FN 80-25 D 50%R/40%P/10%ES 30 CM MDB,,1.5,KG,30699.329810049017,0.05,48472.62601586687
4010402004.0,POLYMORPH MD VALUE PACK 0.5 KG WHITE @12,3021301007.0,JR FN 80-25 D 50%R/40%P/10%ES 30 CM,,6.0,KG,29570.37037037037,0.05,186760.23391812865
4010402005.0,POLYMORPH MD 30X45 (ROLL) MIX @6,3011401002.0,MR FN 80-25 D 50%R/40%P/10%ES 165 CM MDB,,1.3770000000000002,KG,27629.396829044115,0.1,42272.9771484375
4010402006.0,POLYMORPH MD 30X45 (ROLL) WHITE @6,3011401001.0,MR FN 80-25 D 50%R/40%P/10%ES 165 CM,,5.508000000000001,KG,26613.333333333332,0.1,162873.6
4010402007.0,POLYMORPH MD 30X60 10S MIX @36,3021301001.0,JR FN 80-25 D 50%R/40%P/10%ES 30 CM MDB,,1.296,KG,30699.329810049017,0.05,41880.34887770898
4010402008.0,POLYMORPH MD 30X60 10S WHITE @33,3021301007.0,JR FN 80-25 D 50%R/40%P/10%ES 30 CM,,4.751999999999999,KG,29570.37037037037,0.05,147914.10526315786
4010402009.0,POLYMORPH MD VALUE PACK 1 KG MIX @6,3021301001.0,JR FN 80-25 D 50%R/40%P/10%ES 30 CM MDB,,1.5,KG,30699.329810049017,0.05,48472.62601586687
4010402010.0,POLYMORPH MD VALUE PACK 1 KG WHITE @6,3021301007.0,JR FN 80-25 D 50%R/40%P/10%ES 30 CM,,6.0,KG,29570.37037037037,0.05,186760.23391812865
4010403001.0,POLYMORPH LD 30X32 10S MIX @66,3020801005.0,JR FN 65-25 D 50%R/42.5%P/7.5%ES 30CMLDB,,1.0295999999999998,KG,31276.985398860394,0.05,33897.66754385964
4010403002.0,POLYMORPH LD 30X32 10S WHITE @63,3020801010.0,JR FN 65-25 D 50%R/42.5%P/7.5%ES 30 CM,,3.9312,KG,29538.888888888883,0.05,122235.03157894735
4010403003.0,POLYMORPH LD VALUE PACK 0.5 KG MIX @12,3020801005.0,JR FN 65-25 D 50%R/42.5%P/7.5%ES 30CMLDB,,1.5,KG,31276.985398860394,0.05,49384.713787674315
4010403004.0,POLYMORPH LD VALUE PACK 0.5 KG WHITE @12,3020801010.0,JR FN 65-25 D 50%R/42.5%P/7.5%ES 30 CM,,6.0,KG,29538.888888888883,0.05,186561.4035087719
4010403005.0,POLYMORPH LD 30X45 (ROLL) MIX @6,3010901004.0,MR FN65-25D 50%R/42.5%P/7.5%ES 165CM LDG,,1.2504375,KG,28330.284455128203,0.1,39361.38896484375
4010403006.0,POLYMORPH LD 30X45 (ROLL) WHITE @6,3010901001.0,MR FN 65-25 D 50%R/42.5%P/7.5%ES 165 CM,,5.00175,KG,26584.999999999996,0.1,147746.13749999998
4010403007.0,POLYMORPH LD 30X60 10S MIX @39,3020801005.0,JR FN 65-25 D 50%R/42.5%P/7.5%ES 30CMLDB,,1.1407499999999997,KG,31276.985398860394,0.05,37557.0748355263
4010403008.0,POLYMORPH LD 30X60 10S WHITE @33,3020801010.0,JR FN 65-25 D 50%R/42.5%P/7.5%ES 30 CM,,3.8609999999999998,KG,29538.888888888883,0.05,120052.2631578947
4010403009.0,POLYMORPH LD VALUE PACK 1 KG MIX @6,3020801005.0,JR FN 65-25 D 50%R/42.5%P/7.5%ES 30CMLDB,,1.5,KG,31276.985398860394,0.05,49384.713787674315
4010403010.0,POLYMORPH LD VALUE PACK 1 KG WHITE @6,3020801010.0,JR FN 65-25 D 50%R/42.5%P/7.5%ES 30 CM,,6.0,KG,29538.888888888883,0.05,186561.4035087719
4010404001.0,POLYMORPH SWEEPER MOP STICK  @24,3020101002.0,JR FN 35-25 D 85%P/15%ES 21 CM MCD,,0.4939200000000001,KG,23275.30864197531,0.05,12101.200467836261
4010500001.0,STELLA JUMBO ROLL 50S @20,3010901001.0,MR FN 65-25 D 50%R/42.5%P/7.5%ES 165 CM,,9.75,KG,26584.999999999996,0.1,288004.1666666666
4010500002.0,STELLA DRY WIPE 20X24 100S @14,3020801001.0,JR FN 65-25 D 50%R/42.5%P/7.5%ES 24CMSTL,,4.368,KG,29538.888888888883,0.05,135816.70175438595
